School_Name,Location_Code,District,Latitude,Longitude,City,Zip,Grade_Low,Grade_High,Economic_Need_Index,School_Income_Estimate,Percent_ELL,Percent_Asian,Percent_Black,Percent_Hispanic,Percent Black / Hispanic,Percent_White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction_%,Rigorous_Instruction_Rating,Collaborative Teachers %,Collaborative_Teachers_Rating,Supportive Environment %,Supportive_Environment_Rating,Effective School Leadership %,Effective_School_Leadership_Rating,Strong Family-Community Ties %,Strong_Family-Community_Ties_Rating,Trust %,Trust_Rating,Student_Achievement_Rating,Average_ELA_Proficiency,Average_Math_Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
P.S. 015 ROBERTO CLEMENTE,01M015,1,40.72183,-73.97877,NEW YORK,10009,PK,5,0.919,31141.72,0.09,0.05,0.32,0.6,0.92,0.01,0.94,0.18,0.89,Meeting Target,0.94,Meeting Target,0.86,Exceeding Target,0.91,Exceeding Target,0.85,Meeting Target,0.94,Exceeding Target,Approaching Target,2.14,2.17,20,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 019 ASHER LEVY,01M019,1,40.72989,-73.98423,NEW YORK,10003,PK,5,0.641,56462.88,0.05,0.1,0.2,0.63,0.83,0.06,0.92,0.3,0.96,NA,0.96,NA,0.97,NA,0.9,Exceeding Target,0.86,Meeting Target,0.94,Meeting Target,Exceeding Target,2.63,2.98,33,2,0,1,1,0,0,0,0,0,33,6,0,2,1,0,0,0,0,4,29,5,0,0,3,0,0,0,0,3,28,10,0,0,6,0,0,0,0,8,32,7,0,3,1,2,0,0,0,6,32,4,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 020 ANNA SILVER,01M020,1,40.72127,-73.98632,NEW YORK,10002,PK,5,0.744,44342.61,0.15,0.35,0.08,0.49,0.57,0.04,0.94,0.2,0.87,Meeting Target,0.77,Meeting Target,0.82,Approaching Target,0.61,Not Meeting Target,0.8,Approaching Target,0.79,Not Meeting Target,Approaching Target,2.39,2.54,76,6,0,0,0,4,0,0,0,2,76,11,0,0,3,7,0,0,0,6,70,9,0,0,1,6,2,0,0,1,71,13,0,0,0,11,2,0,0,4,73,2,0,0,1,1,0,0,0,0,73,10,0,0,1,9,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 034 FRANKLIN D. ROOSEVELT,01M034,1,40.72615,-73.97504,NEW YORK,10009,PK,8,0.86,31454,0.07,0.05,0.29,0.63,0.92,0.04,0.92,0.28,0.85,Approaching Target,0.78,Meeting Target,0.82,Meeting Target,0.73,Approaching Target,0.89,Meeting Target,0.88,Meeting Target,Exceeding Target,2.48,2.47,27,0,0,0,0,0,0,0,0,0,29,4,0,0,2,0,0,0,0,0,35,1,0,0,1,0,0,0,0,0,34,1,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,1,0,0,1,0,0,0,0,0,54,3,0,0,1,0,0,0,0,3,54,3,0,0,0,0,0,0,0,3,55,4,0,0,3,0,0,0,0,0,55,3,0,0,3,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0
THE STAR ACADEMY - P.S.63,01M063,1,40.7244,-73.98636,NEW YORK,10009,PK,5,0.73,46435.59,0.03,0.04,0.2,0.65,0.84,0.1,0.93,0.23,0.9,Meeting Target,0.88,Meeting Target,0.87,Meeting Target,0.81,Meeting Target,0.89,Meeting Target,0.93,Meeting Target,Meeting Target,2.38,2.54,21,2,0,0,2,0,0,0,0,0,21,5,0,0,2,0,0,0,0,2,15,2,0,1,0,0,0,0,0,0,15,3,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 064 ROBERT SIMON,01M064,1,40.72375,-73.9816,NEW YORK,10009,PK,5,0.858,39415.45,0.06,0.07,0.19,0.66,0.84,0.07,0.92,0.33,0.93,Meeting Target,0.99,Exceeding Target,0.95,Exceeding Target,0.91,Exceeding Target,0.88,Meeting Target,0.97,Exceeding Target,Meeting Target,2.29,2.48,29,1,0,0,0,0,0,0,0,0,31,4,0,0,1,0,0,0,0,0,40,2,0,0,2,0,0,0,0,2,40,4,0,0,1,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,44,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 110 FLORENCE NIGHTINGALE,01M110,1,40.71529,-73.97993,NEW YORK,10002,PK,5,0.499,43706.73,0.01,0.16,0.1,0.43,0.53,0.27,0.95,0.13,0.88,Exceeding Target,0.78,Meeting Target,0.95,Exceeding Target,0.69,Approaching Target,0.87,Meeting Target,0.78,Not Meeting Target,Exceeding Target,2.8,3.2,81,12,0,1,1,3,7,0,0,6,81,37,0,0,11,12,10,0,0,20,49,15,0,0,4,0,9,0,0,4,49,23,0,0,6,0,12,0,0,6,65,16,0,1,5,0,6,0,0,4,65,18,0,1,5,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 134 HENRIETTA SZOLD,01M134,1,40.7143,-73.98297,NEW YORK,10002,PK,5,0.833,28820.67,0.12,0.21,0.2,0.55,0.75,0.03,0.91,0.36,0.87,Approaching Target,0.89,Meeting Target,0.88,Approaching Target,0.88,Meeting Target,0.79,Approaching Target,0.94,Exceeding Target,Meeting Target,2.28,2.73,35,0,0,0,0,0,0,0,0,0,36,6,0,0,1,4,0,0,1,0,43,3,0,0,1,2,0,0,0,0,43,6,0,0,0,6,0,0,0,0,34,5,0,0,5,0,0,0,0,0,34,7,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 140 NATHAN STRAUS,01M140,1,40.71913,-73.98328,NEW YORK,10002,PK,8,0.849,34889.24,0.14,0.05,0.13,0.78,0.9,0.03,0.93,0.27,0.94,Meeting Target,0.91,Approaching Target,0.85,Meeting Target,0.87,Meeting Target,0.83,Meeting Target,0.93,Meeting Target,Meeting Target,2.21,2.27,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,32,1,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,56,5,0,1,2,0,0,0,0,3,47,2,0,0,2,0,0,0,0,0,46,1,0,0,0,1,0,0,0,1,61,3,0,0,1,0,0,0,0,1,61,2,0,0,1,0,0,0,0,1
P.S. 142 AMALIA CASTRO,01M142,1,40.71823,-73.98408,NEW YORK,10002,PK,5,0.861,35545.1,0.08,0.06,0.11,0.78,0.9,0.02,0.92,0.27,0.92,Meeting Target,0.89,Meeting Target,0.9,Meeting Target,0.83,Meeting Target,0.89,Meeting Target,0.95,Exceeding Target,Meeting Target,2.16,2.31,40,1,0,0,1,0,0,0,0,0,38,1,0,0,1,0,0,0,0,0,58,4,0,0,3,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,46,1,0,0,1,0,0,0,0,0,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
